UF;Sexo;Cor;Anos de Estudo;Renda;Altura;nascimento
11;1;4;10;800;1741427298;1978
11;0;8;1;0;1799846494;1949
11;0;2;6;200;1492688377;1966
11;0;8;4;1400;166788028;1989
11;0;2;12;2500;1827358586;1995
11;0;2;4;3000;1774589199;1973
11;0;8;2;1100;1709833981;1965
11;0;8;17;2000;17085447;1981
11;0;2;11;1400;1827305281;1983
11;0;8;5;788;170508676;1999
11;0;8;9;1400;1785680605;1983
11;0;4;4;1000;1645685159;1987
11;0;8;4;600;1754153474;1992
11;0;8;4;788;1772827632;1987
11;0;2;4;500;1718663746;1986
11;0;8;4;1500;17149494;1985
11;0;4;1;1400;1650202938;1962
11;0;2;9;600;1727064502;1984
11;0;2;9;800;1765924712;1979
11;0;2;9;1200;1742593838;1980
11;0;2;9;2500;176866907;1971
11;1;8;12;1200;1764367928;1989
11;0;2;1;2000;1713904438;1976
11;1;4;15;1300;1745392257;1993
11;0;8;9;800;159311812;1982
11;1;8;1;550;1591341012;1976
11;0;2;6;975;1864178568;1997
11;0;8;5;1500;1790890146;1990
11;0;2;12;1200;167198338;1982
11;0;4;9;1145;1717498162;1996
11;1;8;1;1200;1632010545;1973
11;0;8;9;1500;1701369066;1985
11;0;4;12;1200;1542187487;1998
11;1;8;9;850;1784559772;1982
11;0;8;10;1200;1679341936;1983
11;0;8;11;900;1772286883;1983
11;0;8;2;1200;1669996473;1981
11;0;8;9;2500;1661693983;1986
11;1;8;11;400;1719933842;1985
11;0;4;12;1100;1728302429;1994
11;0;2;12;1200;1653043786;1990
11;0;4;12;2500;1620771725;1998
11;0;2;14;4000;1510171114;1983
11;0;2;16;2500;1623599656;1989
11;1;8;6;788;1701556571;1973
11;0;2;12;2000;1566850054;1985
11;0;4;12;788;1570629405;1987
11;1;8;9;380;1891911461;1967
11;0;8;12;836;1665663657;1998
11;0;8;15;1250;1709368199;1988
11;0;2;12;1325;1607844631;1995
11;0;2;8;1550;1787377877;1972
11;0;6;8;1800;1608399085;1969
11;0;4;1;1500;1763905316;1955
11;0;2;12;20000;1635818853;1970
11;0;8;5;3000;1738460556;1980
11;1;2;1;1600;1826377869;1956
11;0;2;4;788;1738136803;1975
11;0;8;9;1400;172215259;1962
11;0;2;11;580;1682925706;1993
11;0;2;5;1500;1727120107;1967
11;0;2;5;1000;176526822;1967
11;0;2;5;100;1731027167;1966
11;0;2;9;0;1611123982;1953
11;0;2;4;1000;1615538212;1971
11;1;8;12;390;1629709329;1997
11;0;8;3;788;1726483566;1973
11;0;4;4;1800;1538167873;1961
11;1;8;1;400;1738933215;1968
11;0;8;7;1500;1651192628;1985
11;0;2;9;2000;1666723724;1983
11;0;2;5;350;1781144172;1970
11;0;2;2;1600;171785355;1974
11;0;8;8;1600;1513863366;1982
11;0;2;1;1000;1553525857;1949
11;0;2;3;788;172315498;1973
11;0;8;16;3000;1743084772;1977
11;0;2;5;2000;166802203;1942
11;0;8;12;10000;17471745;1977
11;1;4;16;900;1777475303;1988
11;0;2;7;6000;1840835531;1957
11;1;2;15;1600;1730926053;1999
11;0;2;12;1300;1723572813;1970
11;1;8;12;1400;1559549881;1990
11;1;8;12;1400;1729987752;1986
11;0;2;16;3500;1592238852;1994
11;0;2;12;2500;1636973911;1974
11;0;8;12;1700;1654289422;1986
11;0;2;9;4500;1732583823;1974
11;1;2;12;1700;1627887329;1980
11;1;2;12;4124;1718625846;1976
11;1;8;12;1500;159485698;1971
11;0;8;12;1200;1731993035;1996
11;0;8;13;1000;1871046059;1997
11;0;8;12;1200;1763705326;1995
11;0;8;12;1600;1579531361;1994
11;1;8;11;950;1709822149;1985
11;0;8;11;1500;1674497651;1996
11;0;8;11;1500;1692249071;1995
11;0;8;16;4000;1706601775;1981
11;0;2;6;900;1772734561;1973
11;0;8;16;6000;1727408774;1990
11;0;4;1;3000;1778035651;1981
11;0;2;16;6000;1735782272;1992
11;0;2;12;0;1787522442;1943
11;0;8;15;2200;1789394412;1970
11;0;2;12;2000;1639359278;1986
11;0;8;16;4000;1738335643;1987
11;0;8;1;1000;1743165296;1972
11;0;8;1;1400;1554162354;1969
11;1;8;5;788;1772603355;1990
11;1;2;9;788;1677731391;1986
11;0;4;9;1700;1684526315;1970
11;0;8;1;1000;1727906955;1967
11;0;2;16;3000;1720236047;1980
11;0;8;5;1500;1679200749;1987
11;0;2;6;1100;1739955274;1951
11;0;4;1;1000;1758267501;1991
11;1;8;12;1100;1717289179;1979
11;0;8;9;1200;1660772859;1971
11;0;8;9;2580;1649140632;1985
11;0;8;17;1900;1707080223;1984
11;1;8;16;2150;1679997644;1987
11;0;2;12;1800;173665454;1996
11;1;8;6;300;1681007713;1972
11;0;8;5;1300;1691254559;1963
11;0;8;12;788;1714962843;1997
11;1;2;16;2800;172502471;1980
11;0;8;5;1440;1660942452;1981
11;0;8;5;850;1711345558;1984
11;1;2;16;9000;1724220376;1986
11;0;8;15;7800;1729626334;1990
11;0;8;5;1200;1614643223;1977
11;1;2;11;1500;1656445512;1996
11;1;2;12;3000;1668200817;1994
11;0;8;6;400;1648669596;1993
11;1;8;7;550;1837242863;1992
11;1;8;12;1200;1741514536;1986
11;0;8;12;1500;1735279131;1997
11;0;8;6;1100;1758025719;1996
11;1;8;6;900;161644168;1978
11;1;2;12;2300;1804838993;2003
11;0;6;16;8000;1649053073;1988
11;0;8;13;1400;1807143241;1986
11;1;8;16;5000;1654739706;1986
11;0;2;3;2500;165973197;1983
11;0;8;12;1490;1833820401;1990
11;0;8;3;2300;1752300365;1965
11;1;2;5;430;1739136095;1994
11;0;2;9;400;1636523743;1994
11;1;8;12;300;1749389281;1986
11;0;8;10;160;1700809575;1976
11;0;2;16;900;1594849162;1973
11;0;8;4;688;1844883796;1983
11;0;2;9;400;1654019078;1973
11;0;2;3;1000;1816873908;1967
11;0;8;9;0;1715936556;1962
11;0;8;9;8000;1837528846;1967
11;1;2;16;805;1815143228;2000
11;0;8;12;6000;1740019168;1980
11;0;2;16;2000;1610327007;1987
11;0;8;12;850;1776701002;1984
11;0;2;16;5200;1605596826;1993
11;0;4;2;789;1710531655;1956
11;0;2;1;2000;160734188;1974
11;0;8;16;5000;1671755171;1988
11;1;8;12;400;1606770127;1973
11;0;2;9;1800;1564118322;1973
11;0;2;12;4000;1712222929;1960
11;0;4;12;1000;1745179769;1994
11;1;8;6;200;1612323235;1990
11;0;2;1;250;1811847854;1981
11;0;8;3;800;1727525317;1970
11;0;8;12;1600;1759334993;1979
11;0;2;8;800;1679203572;1983
11;0;8;6;1600;1728953956;1985
11;0;8;1;1000;1643999861;1955
11;0;2;5;2500;1735019871;1968
11;0;8;1;250;1791420938;1945
11;0;8;4;1000;1715299407;1958
11;0;2;1;10000;1722839364;1964
11;0;8;3;1200;1804646938;1965
11;0;8;13;1200;1778950307;1979
11;0;8;5;3000;1705584335;1958
11;0;2;7;1200;1733608819;1970
11;0;8;1;2500;1753327657;1970
11;1;8;15;1000;1817722725;1996
11;0;2;12;2700;1706976565;1981
11;0;8;16;1300;1772257117;1998
11;1;8;6;500;176083604;1991
11;1;2;14;1000;1711327999;1993
11;0;8;5;1500;176445333;1981
11;0;8;6;1900;1634594403;1978
11;1;2;7;1300;1721233932;1984
11;1;8;10;300;162495925;1960
11;0;2;1;788;1784691602;1963
11;1;2;3;788;1709539664;1962
11;0;2;5;2500;1740528997;1974
11;0;2;2;788;1721948047;1966
11;1;2;9;1020;1624170747;1990
11;1;8;1;600;1610421713;1979
11;1;8;12;1920;1715418767;1996
11;0;4;5;1500;1730241951;1965
11;0;8;1;788;1587156567;1983
11;0;2;12;1000;1794884073;1977
11;0;8;2;2500;1715059812;1971
11;0;2;12;789;1838923596;1988
11;1;4;7;830;1631127346;1982
11;1;2;12;1000;1530269667;1986
11;0;8;7;1800;1755595003;1967
11;0;2;8;2300;1835355316;1973
11;0;8;12;800;1672349006;1983
11;1;8;6;788;1641681806;1983
11;1;4;16;1200;1700708687;1984
11;1;2;11;230;1840929648;2005
11;0;2;16;2364;1617595593;1971
11;1;2;7;500;1609445009;1966
11;1;8;1;1800;1709539346;1977
11;0;2;3;3650;1638209027;1965
11;0;2;1;850;1699977664;1953
11;1;8;5;0;1726380083;1984
11;0;2;9;2000;1533781023;1991
11;0;8;1;1500;1793828782;1968
11;0;2;5;700;1785477747;1981
11;0;2;4;750;1608269896;1979
11;0;2;5;800;1698189024;1982
11;0;8;1;1200;1664920063;1983
11;0;2;4;1400;1729185303;1980
11;0;8;1;750;1654449975;1964
11;1;8;9;300;1822339604;1999
11;1;8;10;788;1530682737;1979
11;0;8;6;400;1840644739;1984
11;0;2;16;400;1754663691;1984
11;1;4;6;788;1698167372;1984
11;0;8;1;788;1594890204;1985
11;1;8;4;1500;1534158814;1963
11;0;8;7;1500;1680383502;1972
11;0;2;16;3000;17207937;1991
11;0;8;12;1400;1781007987;1978
11;0;8;12;1000;1634692307;1995
11;1;8;12;800;1879012232;1986
11;0;8;7;800;1730865592;1985
11;0;8;12;700;1858994735;1973
11;0;8;8;900;1731334193;1967
11;0;4;9;788;181014312;1985
11;1;8;12;788;1553276832;1970
11;1;8;1;400;177528698;1984
11;1;8;16;2000;1729180189;1956
11;0;2;12;3000;1849865103;1959
11;1;8;15;300;1770795407;1991
11;1;8;12;1300;179307671;1973
11;0;2;6;1200;1720288563;1976
11;0;8;8;1500;1776154971;1977
11;1;4;10;200;172527463;1989
11;0;4;8;1600;1672713166;1964
11;0;8;3;1200;1553054861;1968
11;0;8;1;1500;1734895336;1950
11;0;8;1;400;1604257134;1952
11;0;8;6;350;1739618858;1972
11;0;2;5;2400;1745479841;1958
11;0;8;5;0;1598207291;1961
11;0;8;1;788;1837902771;1969
11;0;8;6;800;1651160293;1984
11;0;8;1;0;1657999179;1950
11;0;2;8;1100;1779518039;2000
11;0;2;13;2500;192579977;1972
11;0;8;2;0;1798253592;1973
11;0;2;16;2000;1676554676;1981
11;0;2;14;3000;1728661239;1991
11;0;2;16;5000;1749771342;1978
11;0;2;16;3500;1576958875;1981
11;0;8;9;3500;1556648626;1980
11;0;8;10;800;169346055;2004
11;0;4;5;800;1720577135;1981
11;1;8;14;850;1793628846;1999
11;0;8;9;850;1685051771;1985
11;1;2;17;788;1813393331;1975
11;0;8;9;1500;1651605414;2003
11;0;8;9;1000;1581273642;1987
11;0;8;12;1200;1735513155;1989
11;1;8;10;800;1618622823;1988
11;0;8;6;2000;1619677459;1986
11;1;2;8;1000;1693734834;1984
11;1;8;16;2000;1610727425;1989
11;0;8;1;800;1600100393;1964
11;1;8;9;788;1800521066;1976
11;0;8;4;1300;1619059013;1966
11;0;8;12;2500;1673185626;1988
11;0;8;6;1000;1799869738;1994
11;0;8;12;3500;1680026871;1995
11;0;8;4;800;1672872093;1994
11;0;2;9;788;1747933413;2000
11;0;4;9;1500;1717878112;1978
11;0;8;9;1600;172177337;1990
11;0;8;8;1700;1845530572;1986
11;0;8;7;2000;173888129;1983
11;0;8;16;1000;1836743013;1977
11;1;4;9;100;1726598949;1983
11;1;2;9;788;1735220523;2001
11;0;8;12;1400;1638165938;1996
11;0;8;16;1200;1717992835;1978
11;0;8;5;1500;149861126;1982
11;0;2;5;1300;1680255885;1965
11;0;4;8;600;1651368209;1982
11;0;8;6;900;1727758113;1981
11;0;2;4;1200;1655147987;1978
11;0;8;5;2000;175275962;1982
11;0;8;12;900;1789949139;1978
11;0;8;1;2000;1752622471;1971
11;0;8;4;900;1673762837;1987
11;0;8;1;788;1654788996;2000
11;0;8;4;900;1607891899;1978
11;0;8;9;1500;1686726382;1991
11;0;8;12;788;1567346954;2000
11;0;2;16;10000;1618431434;1961
11;1;8;10;788;1779590173;1996
11;0;8;12;2800;1856666759;1966
11;0;8;9;788;1643559757;1969
11;0;8;1;788;1754062252;1985
11;0;2;11;2000;1701151149;1998
11;1;2;12;789;1778533399;1988
11;0;8;14;1500;1686974776;1997
11;1;2;14;2800;1723082263;1982
11;0;8;9;3000;1664390525;1959
11;0;8;12;1200;1778775969;1986
11;1;8;13;2000;1604770597;1990
11;0;2;9;1000;1748451233;1972
11;0;8;7;2500;1738575623;1975
11;1;8;16;1150;1743459633;1977
11;0;2;5;2000;1711175816;1986
11;0;2;9;5000;1793000554;1976
11;0;2;12;3000;1789784135;1975
11;0;2;16;8000;1709297771;1966
11;0;8;6;1200;1673878003;1976
11;0;8;12;2500;1689472643;1975
11;0;8;9;10000;1728276901;1970
11;1;8;7;788;1711909504;1999
11;0;4;12;2400;1779836869;1984
11;0;2;9;3000;1639235512;1970
11;0;8;16;1900;1802592345;1993
11;0;8;16;7500;1736740461;1982
11;0;8;12;3310;1724049175;1964
11;0;8;5;900;1584638218;1994
11;0;8;1;800;1732961146;1970
11;0;8;6;3500;16859077;1984
11;0;8;12;1000;1684574172;2000
11;0;2;5;8500;1711913319;1973
11;1;8;5;250;1580498823;1963
11;0;2;2;950;1727489959;1980
11;0;8;4;1300;1830929004;1982
11;0;8;9;1500;1661791496;2002
11;1;8;16;2000;1777485465;1964
11;0;8;12;7000;165469875;1971
11;0;8;12;6000;1774268264;1960
11;0;2;12;3400;1741173403;1986
11;1;2;12;788;1653608061;1976
11;0;8;12;1200;1743742384;1968
11;1;8;12;780;1727718085;1971
11;0;2;12;788;1733625776;1985
11;0;8;11;2000;1745545114;2000
11;0;8;7;1400;1671334076;2001
11;0;8;16;1800;1574972387;1975
11;1;8;6;900;1684613226;1984
11;0;2;1;1182;1683305087;1953
11;0;8;1;600;1733743937;1954
11;0;8;16;4200;1724617047;1965
11;1;4;12;788;1630642529;1986
11;1;8;13;150;149652401;1975
11;0;2;13;4000;1819988588;1963
11;0;8;16;7000;1788792734;1969
11;1;2;16;1700;163075336;1976
11;1;2;9;80;1840218073;1963
11;0;8;12;800;1637466793;1978
11;0;8;12;1000;1847668727;1993
11;1;8;6;2000;1740231338;1972
11;1;4;5;788;1582048118;1968
11;1;8;5;870;1633458627;1975
11;0;8;7;1200;1661903251;1989
11;0;8;1;200;174140719;1959
11;1;8;11;1100;1796194806;1985
11;0;4;5;1000;1817428265;1961
11;0;2;9;2000;1669562863;1980
11;1;8;10;200;1697745534;1988
11;0;4;16;4300;1758374665;1985
11;0;2;12;2000;1574776992;1983
11;0;8;4;1200;1674280747;1986
11;0;8;2;1070;1628137374;1966
11;0;2;6;1000;1831915196;1963
11;0;2;9;800;1783098992;1976
11;0;2;16;5000;1749381315;1974
11;0;8;1;350;1693126416;1963
11;0;8;8;500;1722843495;2002
11;0;8;10;500;1691885531;1981
11;0;2;1;1100;1846371672;1961
11;0;2;12;1200;170121296;1995
11;1;8;4;788;1652795699;1972
11;0;2;3;1000;1576525886;1948
11;1;8;9;400;148963102;1963
11;0;8;4;788;1759130275;1986
11;0;4;5;150;154189054;1965
11;0;2;9;3000;1661599897;1988
11;0;8;12;1300;1767950664;1982
11;0;8;5;200;1752975967;1970
11;0;8;11;788;1794573155;1993
11;1;4;2;250;1664267692;1963
11;0;8;12;1000;171799009;1979
11;0;8;6;788;1686677201;1979
11;1;8;9;788;1662565011;1983
11;0;2;12;2000;1803529273;1984
11;1;4;1;600;1632839736;1995
11;0;2;12;600;1608022778;1986
11;0;8;8;4500;1757959655;1966
11;0;4;12;1000;1797798255;1988
11;0;8;3;788;1802870341;1961
11;0;2;9;1400;1822337228;1990
11;1;2;6;500;1794157648;1969
11;0;4;12;0;171723851;1963
11;0;8;8;350;1797763391;1965
11;0;8;12;920;1740909945;1984
11;1;2;16;2400;160081945;1987
11;1;2;6;800;1774058089;1982
11;0;8;5;4800;1756893984;1988
11;0;8;12;3000;1650361065;1991
11;0;2;9;1200;1739312464;1988
11;0;8;11;1500;1516083715;1988
11;0;2;8;2500;1595411434;2000
11;0;2;12;1500;1765973824;1958
11;0;2;16;1500;1725466892;1969
11;0;2;12;1500;1801506807;1986
11;0;2;9;1000;1544522834;1993
11;0;2;2;2000;17441112;1973
11;0;8;9;1300;1757073127;1987
11;0;8;12;1200;1628301491;2001
11;1;8;5;1400;1643452224;1992
11;0;8;5;1000;1824898197;1970
11;0;2;5;1500;1735052943;1985
11;1;8;10;1000;1742390154;1965
11;0;8;15;2500;1659751587;1991
11;0;8;5;200;1700024429;1964
11;0;8;7;1270;1654674812;1988
11;0;8;4;788;1638713738;1973
11;1;2;13;1200;1802602651;1991
11;1;8;9;1500;1723881965;1984
11;0;8;11;45000;1711432277;1995
11;0;8;12;1200;1470500966;1984
11;0;8;9;1100;1659497716;1974
11;0;8;9;150;1660081705;1978
11;0;2;4;500;1708818446;1968
11;0;8;2;1500;1629835718;1962
11;0;2;7;1200;1841180046;2002
11;0;2;5;1500;1673606441;1983
11;0;4;9;2600;1677800592;1971
11;0;8;12;3500;1632194458;1980
11;0;2;16;2400;171899259;1993
11;0;8;1;100;173507318;1964
11;0;8;7;750;1793295734;1987
11;0;2;5;900;1643410333;1988
11;0;2;1;5000;1591437177;1957
11;0;8;1;1500;1729774165;1964
11;0;8;11;1000;1795602005;1976
11;0;2;9;5000;1878888606;1974
11;0;2;5;1400;1633582728;1965
11;0;8;1;900;1835061062;1989
11;0;8;4;1500;1647803708;1979
11;0;2;12;1200;1600814618;1979
11;0;8;1;788;1632018283;1970
11;0;8;6;788;1818162348;1997
11;0;2;5;2000;1938219796;1972
11;0;8;9;2000;1689681081;1968
11;0;8;12;2000;1721098092;1972
11;0;2;1;1200;180760251;1976
11;1;2;9;2000;1642779839;1981
11;1;8;9;788;1768451647;1978
11;0;8;5;1290;1787446875;1976
11;0;8;9;1500;1687085031;1988
11;0;8;16;1200;1779971788;1984
11;0;8;12;2500;1790373592;1983
11;0;8;5;1800;163438931;1971
11;1;8;5;1000;1771446912;1966
11;0;4;11;2500;1659927923;1967
11;0;8;12;1700;1732264604;1997
11;1;2;16;2790;1736428899;1977
11;0;2;12;4500;1716311954;1972
11;1;8;9;300;167693427;1977
11;0;8;10;5000;1554324044;1989
11;1;2;9;800;1700327481;1978
11;1;8;12;900;1769213266;1991
11;0;8;6;788;1716753566;1994
11;1;8;12;788;1685663101;1978
11;0;8;14;2500;1630635256;1979
11;1;8;1;788;1744265847;1959
11;0;8;5;788;1724572016;1979
11;1;4;16;3000;1638588786;1990
11;0;8;12;3800;1645344266;1981
11;0;8;3;1250;1674346134;1984
11;0;2;2;7000;1651326889;1971
11;0;2;5;788;1829220181;1971
11;0;8;13;600;1744919126;1969
11;0;2;9;1800;1726928865;1952
11;0;8;9;1400;1753004118;1987
11;0;8;6;800;1666092391;1998
11;0;8;3;788;1701570601;1998
11;0;8;5;1300;1759899141;1991
11;0;8;5;788;1738154498;1985
11;0;8;11;788;1719857234;1993
11;0;8;14;9166;1590401776;1985
11;0;8;5;800;1601185216;1962
11;0;8;9;1800;1736646997;1981
11;0;8;5;2000;1764600898;1969
11;0;4;16;1200;1601647796;1994
11;1;4;6;830;1735162704;1976
11;0;4;4;1500;1652838949;1969
11;0;8;7;1500;1717794781;1971
11;0;4;12;1500;1595072521;1986
11;1;8;12;1200;1802349896;1982
11;0;2;9;2000;1734871203;1977
11;0;8;12;2930;1727978431;1991
11;0;2;12;4000;1738939197;1969
11;1;8;12;788;1599621457;1986
11;1;2;12;2000;171741644;1986
11;1;8;16;3000;1690922841;1997
11;0;2;7;1024;1872197277;1965
11;0;8;5;1180;1737031462;1977
11;1;8;10;1024;1668380341;1997
11;1;8;9;1500;1661298441;1966
11;0;8;5;1500;1739808863;1971
11;0;2;6;2000;1737023146;1970
11;1;8;12;4000;1668929205;1986
11;0;4;5;1200;1793472954;1975
11;0;2;4;1200;163945453;1981
11;0;8;10;876;1668913269;1986
11;0;2;1;1200;1741768243;1957
11;1;8;7;788;1720581004;1994
11;1;8;6;1050;1714215577;1987
11;0;4;1;1300;1627893883;1978
11;1;4;16;1300;1674079918;1994
11;0;2;5;1300;1671770544;1967
11;0;2;11;1100;1731413237;1992
11;0;8;5;2000;1745307398;1970
11;1;8;12;924;168631318;1987
11;1;2;14;1300;1688207437;1989
11;1;8;5;950;1729308485;1969
11;0;8;2;1300;1608898658;1977
11;0;8;16;1100;1651719029;1994
11;0;4;1;1500;1619082673;1970
11;0;8;7;500;1695018316;1965
11;0;8;12;3500;1732562628;1958
11;0;2;6;850;1656058521;2004
11;1;8;10;150;1849817114;1993
11;0;4;12;2300;1830687045;1992
11;0;2;2;950;1716740569;1969
11;1;2;5;0;1524765388;1982
11;0;2;3;0;1583388674;1956
11;0;2;1;0;1701305267;1943
11;0;8;4;0;1501365177;1961
11;0;2;6;1000;1784353173;1992
11;1;2;5;0;1857015897;1965
11;0;2;9;2200;16704857;1963
11;0;2;9;788;1735252047;1965
11;1;2;5;0;168360919;1968
11;0;8;4;2000;188805068;1982
11;1;8;16;2800;1646633258;1987
11;1;8;9;800;1635723778;1969
11;1;8;12;1500;1821008343;1995
11;1;8;5;900;165459276;1983
11;1;8;5;500;1810206973;1979
11;0;2;9;2100;1686090922;1973
11;1;8;5;600;1774940134;1974
11;1;8;8;1100;1672973537;1981
11;0;8;5;2000;165206235;1977
11;0;8;6;1300;16020506;2004
11;1;8;9;788;1798133121;1978
11;0;8;4;1800;1821418605;1977
11;0;8;1;700;1670244987;1946
11;0;8;5;1800;1558440775;1974
11;0;4;11;1100;1671353801;1977
11;0;8;3;960;1773339254;1986
11;1;8;12;1200;1768764139;1979
11;0;8;9;1200;1833451087;1970
11;0;8;7;4000;1570823445;1965
11;1;8;12;1500;1857665509;1986
11;1;8;12;2800;175602453;1989
11;1;8;9;2000;1630093629;1973
11;0;8;9;788;1681992124;1987
11;0;8;6;500;1798168872;1983
11;0;2;1;1200;1570177157;1958
11;0;8;8;1500;1664838435;2005
11;1;8;12;788;1747170663;1984
11;0;8;10;150;1594984883;1998
11;0;8;8;1500;1771504715;1984
11;0;8;2;788;160828134;1943
11;0;4;7;850;1692077571;1995
11;0;0;16;5000;1795226841;1969
11;1;8;15;1800;1669960483;1981
11;1;2;8;1000;161824255;1970
11;0;4;1;500;1574998288;1985
11;0;8;1;788;1585016502;1973
11;0;8;16;2000;1704333546;1990
11;0;8;16;7000;1675371019;1984
11;1;8;12;1700;1757063361;1984
11;1;8;12;800;1810624385;1986
11;1;8;12;1600;1602868929;1974
11;0;2;16;2300;1765989809;1977
11;0;8;12;2100;1824642841;1981
11;0;2;14;1600;168740102;1993
11;0;4;12;1500;1742067465;1995
11;0;2;10;2000;1661044216;1996
11;1;8;16;5000;1715905532;1960
11;1;2;12;3500;1706776733;1984
11;0;8;12;788;1604348712;1992
11;0;8;12;788;1830261405;1990
11;1;4;16;7900;1652553812;1964
11;0;8;12;3500;1742965538;1967
11;0;2;16;7000;172807826;1973
11;0;4;16;22000;1541531313;1971
11;1;8;9;1000;1657550579;1973
11;0;2;12;3500;1738773659;1984
11;0;8;9;3000;1679746926;1961
11;1;8;9;1200;1717279175;1970
11;0;8;16;2000;1814042188;1986
11;0;8;9;1200;1731421671;1962
11;0;4;12;1000;1659162513;1972
11;0;2;12;1038;1599199489;2003
11;1;8;12;1500;167380591;1983
11;1;2;12;960;1782378902;1994
11;0;4;12;2000;1690184964;1976
11;1;2;12;1800;1678516521;1996
11;0;8;9;4000;1667701065;1994
11;1;8;1;350;1788186562;1955
11;0;8;9;800;1757001214;1969
11;1;2;9;1200;1641231809;1962
11;0;2;12;2000;169556588;1978
11;0;4;10;2200;1623202978;1989
11;1;4;16;1800;1735598267;1975
11;0;8;12;3500;1699669911;1981
11;0;4;10;2500;172619545;1983
11;0;2;5;1000;1792885399;1961
11;1;4;8;1000;1800078178;1986
11;0;2;7;2000;1890473633;1960
11;0;4;12;2300;1728085366;1967
11;0;2;12;1200;174681775;2002
11;0;8;9;400;16320393;1966
11;0;2;5;2000;1840867827;1959
11;1;4;13;1200;1701507284;1983
11;1;8;16;3000;1674761863;1984
11;0;8;16;1700;1703936187;1967
11;0;8;12;954;1782654676;1995
11;0;8;12;5000;170719226;1974
11;0;8;1;1500;1750377102;1995
11;0;2;6;1700;1626210317;1976
11;0;8;16;6700;1614816998;1987
11;1;8;12;800;1594853316;1982
11;0;8;16;2300;1687850978;1990
11;1;8;12;1000;1639267524;1985
11;0;2;12;3800;1809345538;1998
11;0;8;10;788;1767168603;1981
11;1;2;1;2500;1722736429;1962
11;0;2;9;1045;1793044565;1989
11;0;8;1;2000;1618819048;1963
11;1;2;16;1600;179596722;2000
11;0;2;16;8000;1682799688;1976
11;0;8;16;900;1601152785;2002
11;0;2;5;2000;1897358;1963
11;0;2;12;2500;1701665687;1989
11;0;8;8;1800;1724195324;1957
11;0;8;12;3800;1743380447;1995
11;0;2;12;2500;1681796206;1979
11;0;2;7;4500;1838394168;1957
11;1;8;16;3500;1624286809;1976
11;0;4;3;1100;165195125;1972
11;1;4;9;1000;1774440785;1975
11;0;8;5;700;1611998872;1982
11;1;8;7;1100;1806637121;1979
11;0;4;12;1600;1827703363;1978
11;1;2;7;788;1745952846;1977
11;0;8;12;1600;1492575374;1994
11;0;8;15;3500;1826349463;2000
11;1;4;16;6000;1753381034;1975
11;1;8;15;3500;1642661739;1969
11;1;2;12;2000;1811558486;1973
11;0;8;9;2000;1659462295;1955
11;0;2;8;1300;164219712;1982
11;0;2;13;1500;1699605049;1963
